x,y,p
-37.38092,6.4253087,0.0
48.03877,13.817618,0.0
12.189532,31.39849,0.0
-3.434449,-2.6439085,0.0
-23.713877,-19.632374,0.0
-30.256878,2.3536325,0.0
-22.35959,3.1493602,0.0
16.800938,21.203913,0.0
36.524002,-8.737928,0.0
-52.37389,-21.586798,0.0
28.11965,0.82755864,1.0
32.591747,58.502575,0.0
9.193879,-44.89065,0.0
22.631382,55.089546,0.0
-19.608994,29.170696,0.0
-27.101496,39.042667,0.0
57.703735,23.176445,0.0
-46.16294,-24.443146,0.0
44.010265,-9.881821,0.0
-36.8471,42.776012,0.0
19.212605,-0.26091766,0.0
-21.100473,9.636091,0.0
20.159885,14.2993355,0.0
3.8719795,-9.768933,0.0
22.515087,-17.80926,0.0
-23.887016,41.807297,0.0
9.115462,50.70351,0.0
-22.399586,33.603947,0.0
2.3022156,-36.080315,0.0
56.56571,22.421764,0.0
23.474884,-20.828499,0.0
-18.21038,-11.161868,0.0
16.418108,-33.022057,0.0
29.376795,16.57986,0.0
5.5552783,-20.636734,0.0
28.475393,-0.29292244,0.0
7.698004,-27.380457,0.0
22.753681,2.5383778,0.0
-24.674517,-43.684483,0.0
26.826025,17.286379,0.0
-25.88157,-46.20146,0.0
-21.457575,-20.343992,
-7.638243,51.89964,
12.752412,20.583025,
46.53092,-4.4478607,0.0
31.04674,-5.606731,0.0
16.686304,-35.096695,0.0
2.3633964,18.136988,0.0
-20.748024,13.499601,0.0
14.946844,4.836499,
32.309067,59.400723,0.0
19.322685,-27.634235,0.0
-51.629856,-29.775028,
-25.241865,-22.702335,0.0
-11.287757,-42.16523,0.0
27.449368,0.5841576,0.0
-55.860596,24.892836,0.0
39.878616,9.57104,0.0
10.501389,-43.51794,0.0
-46.857376,-38.575012,0.0
-8.236394,62.647694,0.0
51.95461,2.7260847,0.0
-26.92902,4.731114,0.0
10.390188,-6.171053,0.0
1.3448344,-20.140476,0.0
52.554623,-8.289996,0.0
-8.964177,-28.281776,0.0
11.8606415,-12.706441,0.0
-8.764851,33.39646,0.0
29.193253,9.163922,0.0
6.219874,-15.051287,
3.318999,-29.390018,0.0
3.0917609,25.867935,0.0
27.50198,49.402775,0.0
29.104774,12.659039,0.0
-46.212486,-40.12183,
-24.91987,-43.27863,0.0
17.380611,-7.4232955,0.0
21.722862,2.950572,0.0
-13.212511,9.56402,0.0
5.6810527,-15.563225,0.0
1.3768308,-41.263676,0.0
8.569225,-44.680115,0.0
1.5574673,58.319675,0.0
-48.68434,-29.934837,0.0
38.678463,-7.4695497,0.0
19.022203,33.697235,0.0
-12.472489,-41.639133,0.0
-28.66241,39.37868,0.0
-8.928792,64.92714,0.0
-40.88612,11.229961,0.0
-14.200408,9.143885,0.0
1.293657,-17.487522,0.0
24.179226,-24.169779,0.0
18.510576,20.410658,0.0
32.051975,59.39498,0.0
